Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
-84.081605,-56.85518202,-96.88548149,-427.9191982,222.3109362674244,-60.92675033
-147.0814623,-18.32018404,-109.7262822,-194.4832002,9380.124243846298,-43.33316848
-112.4293094,-396862.5369,-101.0997644,173439.28050425588,2.912166013862633,-71.17042639
-98.23158688,-586447.656,-104.9434992,169281.2916704507,-60.22119712,-91.39501848
-99.54390914,-667679.4901,-101.6416507,153111.34424890077,-148.3967285,-77.45950937
-38.60860201,-653436.6875,-101.7134244,143182.90633645805,-151.6451878,-78.20472615
-13.10637564,-601321.6835,-102.531744,138970.57150589753,-4.686652702,-65.3016582
-139.9694392,-619443.3178,-102.4708513,147567.36257004517,-140.4697919,-104.5295299
-22.50839005,-620593.7672,-106.5788211,127864.49281593459,-78.48636892,-66.19709217
-77.491605,-99.8212675,-70.70156528,-37.00153987,-145.4692286,-49.22933995
-189.4725131,-14545.40529,-138.0969499,-1695.977893,-131.2130117,-104.5556099
-115.4075247,-47.64571009,-95.53366089,-933.3635353,-91.16057275,-82.84190459
-204.0858428,7.711884238502193,-102.5467178,-429.1964928,-120.7030506,-108.6362972
-94.55443896,-53.03843369,-98.47915664,-308.5062054,-120.1255226,-87.7291187
-73.7693937,-118.9045552,-102.6497365,-308.4065579,-89.49412771,-107.4061753
-135.71851,-106.0183254,-84.95068742,-429.8034295,-89.81662249,-105.6945734
-143.7808834,-91.98992099,-92.01006212,-961.3280014,-112.5727022,-106.6996134
-110.1888436,-105.1493002,-113.298794,-764.009453,-93.14981952,-84.64940985
-44.56614726,-60.52125425,-108.4139912,-769.5443761,-120.0733927,-105.6280279
-42.42228278,-154.4372616,-104.6026993,593.4414370162385,-125.4060585,-107.566179
-150.8683693,-56.87859702,-99.49992014,-999.2481279,-62.1479881,-107.4502132
-45.03686172,-53.52812313,-98.98227119,57.51427102778454,-118.7762573,-142.7641032
-95.42436766,-45.90786436,-99.83450528,-40.83431367,-113.7563765,-60.69383872
-89.11032807,-45.93535291,-100.2975962,41.82444274878716,-119.4478247,-108.4880368
-82.99405427,-105.1709847,-96.46422297,324.8301752973711,-90.63323467,-82.73914933
-48.66315032,-125.5729192,-117.7653326,563.9369602,-85.95128246,-62.45339421
-124.7760755,-4.356328586,-75.429245,-880.8135273,14513.97744178714,-111.4835839
-130.2428321,-420563.2323,-121.9254106,358111.81784617936,9978.196563148587,-108.3368401
-86.90477476,-430245.0521,-130.0331418,439314.80908216565,5594.923344437493,-105.0912562
-32.01971903,-498689.9788,-98.85763057,464733.78191815846,7232.338779737173,-126.3502468
-82.54787962,-537865.3341,-124.8003514,455919.57597102784,7835.521899598459,-92.67113558
-30.98236493,-523245.8262,-90.36495744,456807.3199,8593.563554678432,-73.28179172
-69.31099323,-528203.8477,-101.7870947,466146.9632095675,7355.305942709217,-106.6408966
-18.44150942,-410759.1898,-98.1096471,356952.27180360304,6736.790421170952,-105.5086364
-51.08030123,-62.78238829,-65.18926634,118624.53021694458,-164.7524815,-106.3986885
-87.27509968,-56.81242106,-128.2323099,46347.14546758152,-112.3866672,-85.75378001
-154.3552209,-110.1718502,-132.0176477,38.99810591260405,-144.5380307,-147.8333435
-120.9456667,-86.28658757,-82.57546781,-495.8691938,-101.582014,-104.6081617
-66.2636216,-142.978874,-102.5892428,395.3528631615641,-84.99657529,-106.6144739
